89994,5,0,1
89993,5,0,2
89990,7,0,3
89988,8,0,4
89987,8,0,5
89984,10,0,6
89983,10,0,7
89982,10,0,8
89981,10,0,9
89979,11,0,10
89977,12,0,11
89972,16,0,12
89970,17,0,13
89967,19,0,14
89964,19,2,15
89962,20,2,16
89958,23,2,17
89957,21,4,18
89955,21,5,19
89952,21,7,20
89949,23,7,21
89947,23,8,22
89944,25,8,23
89942,25,9,24
89940,26,9,25
89936,28,10,26
89935,26,12,27
89933,26,13,28
89930,26,15,29
89928,24,18,30
89927,24,18,31
89922,28,18,32
89917,28,22,33
89914,28,24,34
89911,29,25,35
89910,26,28,36
89904,31,28,37
89898,36,28,38
89896,34,31,39
89892,37,31,40
89890,37,32,41
89886,36,36,42
89880,40,37,43
89874,43,39,44
89871,45,39,45
89864,50,40,46
89858,55,40,47
89854,56,42,48
89850,57,44,49
89848,56,46,50
89845,54,50,51
89840,52,56,52
89833,57,57,53
89829,60,57,54
89821,63,61,55
89816,64,64,56
89811,66,66,57
89804,67,71,58
89799,68,74,59
89788,75,77,60
89779,82,78,61
89771,88,79,62
89766,83,88,63
89759,85,92,64
89752,88,95,65
89745,89,100,66
89730,102,101,67
89714,113,105,68
89702,121,108,69
89687,132,111,70
89670,143,116,71
89652,159,117,72
89635,169,123,73
89603,197,126,74
89567,225,133,75
89528,253,143,76
89488,287,148,77
89442,325,155,78
89386,373,162,79
89320,428,172,80
89252,492,175,81
89159,577,182,82
89061,658,198,83
88942,769,205,84
88822,880,213,85
88681,1010,223,86
88511,1162,240,87
88319,1345,248,88
88091,1551,269,89
87857,1765,288,90
87574,2019,316,91
87262,2298,348,92
86925,2603,379,93
86513,2971,422,94
86054,3388,463,95
85508,3877,519,96
84909,4414,580,97
84241,5015,646,98
83487,5683,731,99
83074,5985,841,100
82591,6368,939,102
82124,6718,1054,104
81628,7077,1189,106
81137,7416,1338,109
80576,7782,1530,112
80008,8141,1735,116
79433,8484,1963,120
78875,8757,2243,125
78271,9043,2556,130
77635,9339,2891,135
77001,9612,3246,141
76345,9821,3687,147
75660,9978,4208,154
75047,10023,4769,161
74447,10021,5364,168
73755,10129,5939,177
73158,10153,6504,185
72508,10229,7068,195
71904,10339,7553,204
71272,10484,8030,214
70599,10651,8525,225
69936,10762,9066,236
69281,10872,9599,248
68609,11016,10116,259
67973,11054,10702,271
67328,11093,11295,284
66664,11140,11899,297
66026,11154,12509,311
65393,11107,13175,325
64736,11086,13839,339
64171,10998,14476,355
63520,11000,15110,370
62915,10933,15765,387
62334,10917,16344,405
61725,10889,16963,423
61151,10800,17609,440
60584,10733,18224,459
60006,10698,18819,477
59428,10590,19484,498
58876,10462,20145,517
58354,10309,20799,538
57841,10187,21415,557
57328,10024,22071,577
56816,9880,22705,599
56322,9675,23383,620
55892,9458,24007,643
55439,9271,24625,665
54969,9150,25194,687
54500,8998,25791,711
54080,8816,26370,734
53669,8617,26955,759
53256,8401,27560,783
52849,8219,28125,807
52462,8037,28667,834
52046,7826,29269,859
51678,7649,29786,887
51315,7444,30328,913
50980,7225,30856,939
50682,6992,31358,968
50390,6782,31833,995
50083,6587,32305,1025
49780,6377,32790,1053
49477,6199,33238,1086
49187,5980,33717,1116
48929,5765,34157,1149
48672,5577,34572,1179
48194,5604,34993,1209
47680,5704,35374,1242
47158,5814,35755,1273
